Experiment,Very Long,Long,Med Long,Med Short,Short
Grimson,1,0.0001097**,1.49E-06**,0.9987,0.877
Linsley,1,1,1.34E-14**,0.0001561**,1.47E-08**
Lim,1,1,2.53E-08**,4.02E-17**,0.001384*
Jackson,1,0.9861,5.66E-07**,2.98E-09**,0.02786*
Baek,0.6108,0.4996,0.6649,0.1129,0.7686
Selbach,0.9963,0.9267,0.1218,0.005917*,0.0206*
Baek MA,1,0.9988,0.0001289**,1.43E-11**,0.01611*
Selbach MA,1,0.3123,0.002443*,0.004716*,0.3854
Selbach LNA,0.4236,0.2408,0.9639,0.1824,0.4064
Linsley OME,0.998,0.7781,0.004476*,0.2858,0.4708
